날짜,월,요일,지점,강수량(mm)
2016-01-01,1,금,108,0
2016-01-02,1,토,108,0
2016-01-03,1,일,108,0
2016-01-04,1,월,108,0
2016-01-05,1,화,108,0
2016-01-06,1,수,108,0
2016-01-07,1,목,108,0
2016-01-08,1,금,108,0
2016-01-09,1,토,108,0
2016-01-10,1,일,108,0
2016-01-11,1,월,108,0
2016-01-12,1,화,108,0
2016-01-13,1,수,108,0.4
2016-01-14,1,목,108,0
2016-01-15,1,금,108,0
2016-01-16,1,토,108,0.1
2016-01-17,1,일,108,0
2016-01-18,1,월,108,0.2
2016-01-19,1,화,108,0
2016-01-20,1,수,108,0
2016-01-21,1,목,108,0
2016-01-22,1,금,108,0
2016-01-23,1,토,108,0
2016-01-24,1,일,108,0
2016-01-25,1,월,108,0
2016-01-26,1,화,108,0.3
2016-01-27,1,수,108,0
2016-01-28,1,목,108,0
2016-01-29,1,금,108,0
2016-01-30,1,토,108,0
2016-01-31,1,일,108,0
2016-02-01,2,월,108,0
2016-02-02,2,화,108,0
2016-02-03,2,수,108,0
2016-02-04,2,목,108,0
2016-02-05,2,금,108,0
2016-02-06,2,토,108,0
2016-02-07,2,일,108,0
2016-02-08,2,월,108,0
2016-02-09,2,화,108,0
2016-02-10,2,수,108,0
2016-02-11,2,목,108,0.1
2016-02-12,2,금,108,18
2016-02-13,2,토,108,21
2016-02-14,2,일,108,2.5
2016-02-15,2,월,108,0
2016-02-16,2,화,108,0.8
2016-02-17,2,수,108,0
2016-02-18,2,목,108,0
2016-02-19,2,금,108,0
2016-02-20,2,토,108,0
2016-02-21,2,일,108,0
2016-02-22,2,월,108,0
2016-02-23,2,화,108,0.9
2016-02-24,2,수,108,0
2016-02-25,2,목,108,0
2016-02-26,2,금,108,0
2016-02-27,2,토,108,0.2
2016-02-28,2,일,108,4.1
2016-02-29,2,월,108,0
2016-03-01,3,화,108,0
2016-03-02,3,수,108,0
2016-03-03,3,목,108,0
2016-03-04,3,금,108,0.1
2016-03-05,3,토,108,40
2016-03-06,3,일,108,0.2
2016-03-07,3,월,108,0
2016-03-08,3,화,108,0
2016-03-09,3,수,108,0
2016-03-10,3,목,108,0
2016-03-11,3,금,108,0
2016-03-12,3,토,108,0
2016-03-13,3,일,108,0.1
2016-03-14,3,월,108,0
2016-03-15,3,화,108,0
2016-03-16,3,수,108,0
2016-03-17,3,목,108,0
2016-03-18,3,금,108,0
2016-03-19,3,토,108,0
2016-03-20,3,일,108,0
2016-03-21,3,월,108,0
2016-03-22,3,화,108,0
2016-03-23,3,수,108,0
2016-03-24,3,목,108,0
2016-03-25,3,금,108,0
2016-03-26,3,토,108,0
2016-03-27,3,일,108,0
2016-03-28,3,월,108,0
2016-03-29,3,화,108,0.1
2016-03-30,3,수,108,0
2016-03-31,3,목,108,0
2016-04-01,4,금,108,0
2016-04-02,4,토,108,0
2016-04-03,4,일,108,2
2016-04-04,4,월,108,0
2016-04-05,4,화,108,0
2016-04-06,4,수,108,3
2016-04-07,4,목,108,7.5
2016-04-08,4,금,108,0
2016-04-09,4,토,108,0
2016-04-10,4,일,108,0
2016-04-11,4,월,108,0
2016-04-12,4,화,108,0
2016-04-13,4,수,108,1
2016-04-14,4,목,108,0
2016-04-15,4,금,108,0
2016-04-16,4,토,108,23.5
2016-04-17,4,일,108,20.5
2016-04-18,4,월,108,1.5
2016-04-19,4,화,108,0
2016-04-20,4,수,108,0.5
2016-04-21,4,목,108,17
2016-04-22,4,금,108,0
2016-04-23,4,토,108,0
2016-04-24,4,일,108,0
2016-04-25,4,월,108,0
2016-04-26,4,화,108,0
2016-04-27,4,수,108,0
2016-04-28,4,목,108,0
2016-04-29,4,금,108,0.3
2016-04-30,4,토,108,0
2016-05-01,5,일,108,0
2016-05-02,5,월,108,16.5
2016-05-03,5,화,108,27
2016-05-04,5,수,108,0
2016-05-05,5,목,108,7.5
2016-05-06,5,금,108,9.5
2016-05-07,5,토,108,0
2016-05-08,5,일,108,0
2016-05-09,5,월,108,0
2016-05-10,5,화,108,13.5
2016-05-11,5,수,108,0
2016-05-12,5,목,108,0
2016-05-13,5,금,108,0.5
2016-05-14,5,토,108,0
2016-05-15,5,일,108,45
2016-05-16,5,월,108,2.5
2016-05-17,5,화,108,0
2016-05-18,5,수,108,0
2016-05-19,5,목,108,0
2016-05-20,5,금,108,0
2016-05-21,5,토,108,0
2016-05-22,5,일,108,0
2016-05-23,5,월,108,0
2016-05-24,5,화,108,38.5
2016-05-25,5,수,108,0
2016-05-26,5,목,108,0
2016-05-27,5,금,108,0
2016-05-28,5,토,108,0
2016-05-29,5,일,108,0
2016-05-30,5,월,108,0
2016-05-31,5,화,108,0
2016-06-01,6,수,108,0
2016-06-02,6,목,108,0
2016-06-03,6,금,108,0
2016-06-04,6,토,108,0
2016-06-05,6,일,108,0
2016-06-06,6,월,108,0
2016-06-07,6,화,108,0.1
2016-06-08,6,수,108,0
2016-06-09,6,목,108,0
2016-06-10,6,금,108,0
2016-06-11,6,토,108,3
2016-06-12,6,일,108,1.5
2016-06-13,6,월,108,0
2016-06-14,6,화,108,0
2016-06-15,6,수,108,15.5
2016-06-16,6,목,108,0
2016-06-17,6,금,108,0
2016-06-18,6,토,108,0
2016-06-19,6,일,108,0
2016-06-20,6,월,108,0
2016-06-21,6,화,108,0
2016-06-22,6,수,108,30.5
2016-06-23,6,목,108,0.1
2016-06-24,6,금,108,3.5
2016-06-25,6,토,108,0
2016-06-26,6,일,108,0
2016-06-27,6,월,108,0
2016-06-28,6,화,108,0
2016-06-29,6,수,108,0
2016-06-30,6,목,108,0.2
2016-07-01,7,금,108,108.5
2016-07-02,7,토,108,4
2016-07-03,7,일,108,0
2016-07-04,7,월,108,29.5
2016-07-05,7,화,108,100.5
2016-07-06,7,수,108,0
2016-07-07,7,목,108,0
2016-07-08,7,금,108,0
2016-07-09,7,토,108,0
2016-07-10,7,일,108,0
2016-07-11,7,월,108,0
2016-07-12,7,화,108,3
2016-07-13,7,수,108,0
2016-07-14,7,목,108,0.1
2016-07-15,7,금,108,1.5
2016-07-16,7,토,108,46.5
2016-07-17,7,일,108,2.5
2016-07-18,7,월,108,0.2
2016-07-19,7,화,108,0
2016-07-20,7,수,108,0
2016-07-21,7,목,108,0
2016-07-22,7,금,108,0
2016-07-23,7,토,108,0.5
2016-07-24,7,일,108,0.5
2016-07-25,7,월,108,0
2016-07-26,7,화,108,0
2016-07-27,7,수,108,0.5
2016-07-28,7,목,108,0.2
2016-07-29,7,금,108,59.5
2016-07-30,7,토,108,0.5
2016-07-31,7,일,108,0.2
2016-08-01,8,월,108,0
2016-08-02,8,화,108,2
2016-08-03,8,수,108,0
2016-08-04,8,목,108,0
2016-08-05,8,금,108,0
2016-08-06,8,토,108,0
2016-08-07,8,일,108,0
2016-08-08,8,월,108,0
2016-08-09,8,화,108,1
2016-08-10,8,수,108,0
2016-08-11,8,목,108,0
2016-08-12,8,금,108,0
2016-08-13,8,토,108,0
2016-08-14,8,일,108,0.2
2016-08-15,8,월,108,0
2016-08-16,8,화,108,0.5
2016-08-17,8,수,108,0
2016-08-18,8,목,108,0
2016-08-19,8,금,108,11.5
2016-08-20,8,토,108,0
2016-08-21,8,일,108,0
2016-08-22,8,월,108,0.4
2016-08-23,8,화,108,8
2016-08-24,8,수,108,0
2016-08-25,8,목,108,4.5
2016-08-26,8,금,108,20
2016-08-27,8,토,108,0
2016-08-28,8,일,108,1.5
2016-08-29,8,월,108,0
2016-08-30,8,화,108,0
2016-08-31,8,수,108,17.5
2016-09-01,9,목,108,0
2016-09-02,9,금,108,4.5
2016-09-03,9,토,108,0.5
2016-09-04,9,일,108,0
2016-09-05,9,월,108,0
2016-09-06,9,화,108,0
2016-09-07,9,수,108,0
2016-09-08,9,목,108,4.5
2016-09-09,9,금,108,0
2016-09-10,9,토,108,0
2016-09-11,9,일,108,0
2016-09-12,9,월,108,2.5
2016-09-13,9,화,108,0
2016-09-14,9,수,108,0
2016-09-15,9,목,108,0
2016-09-16,9,금,108,0
2016-09-17,9,토,108,7
2016-09-18,9,일,108,0
2016-09-19,9,월,108,0
2016-09-20,9,화,108,0
2016-09-21,9,수,108,0
2016-09-22,9,목,108,0
2016-09-23,9,금,108,0
2016-09-24,9,토,108,0
2016-09-25,9,일,108,0
2016-09-26,9,월,108,0
2016-09-27,9,화,108,13.5
2016-09-28,9,수,108,0.5
2016-09-29,9,목,108,0
2016-09-30,9,금,108,0
2016-10-01,10,토,108,0
2016-10-02,10,일,108,18.5
2016-10-03,10,월,108,6.5
2016-10-04,10,화,108,0
2016-10-05,10,수,108,0
2016-10-06,10,목,108,0
2016-10-07,10,금,108,2
2016-10-08,10,토,108,6
2016-10-09,10,일,108,0
2016-10-10,10,월,108,0
2016-10-11,10,화,108,0
2016-10-12,10,수,108,0
2016-10-13,10,목,108,0
2016-10-14,10,금,108,0
2016-10-15,10,토,108,0
2016-10-16,10,일,108,1.5
2016-10-17,10,월,108,0
2016-10-18,10,화,108,0
2016-10-19,10,수,108,0
2016-10-20,10,목,108,0
2016-10-21,10,금,108,0
2016-10-22,10,토,108,0
2016-10-23,10,일,108,2.5
2016-10-24,10,월,108,0
2016-10-25,10,화,108,37
2016-10-26,10,수,108,0
2016-10-27,10,목,108,0
2016-10-28,10,금,108,0.3
2016-10-29,10,토,108,0
2016-10-30,10,일,108,0
2016-10-31,10,월,108,0.5
2016-11-01,11,화,108,0
2016-11-02,11,수,108,0.1
2016-11-03,11,목,108,0.2
2016-11-04,11,금,108,0
2016-11-05,11,토,108,0
2016-11-06,11,일,108,0
2016-11-07,11,월,108,5.5
2016-11-08,11,화,108,0.5
2016-11-09,11,수,108,0
2016-11-10,11,목,108,0.4
2016-11-11,11,금,108,4
2016-11-12,11,토,108,0
2016-11-13,11,일,108,0.5
2016-11-14,11,월,108,1.5
2016-11-15,11,화,108,0
2016-11-16,11,수,108,0
2016-11-17,11,목,108,0
2016-11-18,11,금,108,0
2016-11-19,11,토,108,0
2016-11-20,11,일,108,0
2016-11-21,11,월,108,0
2016-11-22,11,화,108,0.2
2016-11-23,11,수,108,0
2016-11-24,11,목,108,0
2016-11-25,11,금,108,0
2016-11-26,11,토,108,2.8
2016-11-27,11,일,108,0
2016-11-28,11,월,108,0
2016-11-29,11,화,108,0
2016-11-30,11,수,108,1
2016-12-01,12,목,108,0
2016-12-02,12,금,108,0
2016-12-03,12,토,108,0
2016-12-04,12,일,108,0
2016-12-05,12,월,108,1.5
2016-12-06,12,화,108,0
2016-12-07,12,수,108,0
2016-12-08,12,목,108,3
2016-12-09,12,금,108,3
2016-12-10,12,토,108,0
2016-12-11,12,일,108,0
2016-12-12,12,월,108,0
2016-12-13,12,화,108,0
2016-12-14,12,수,108,0.1
2016-12-15,12,목,108,0
2016-12-16,12,금,108,0
2016-12-17,12,토,108,0
2016-12-18,12,일,108,0
2016-12-19,12,월,108,0.1
2016-12-20,12,화,108,0
2016-12-21,12,수,108,29
2016-12-22,12,목,108,23.5
2016-12-23,12,금,108,0.1
2016-12-24,12,토,108,0
2016-12-25,12,일,108,0
2016-12-26,12,월,108,0
2016-12-27,12,화,108,0.5
2016-12-28,12,수,108,0
2016-12-29,12,목,108,0.3
2016-12-30,12,금,108,0
2016-12-31,12,토,108,0
2016-01-01,1,금,159,0
2016-01-02,1,토,159,0
2016-01-03,1,일,159,0
2016-01-04,1,월,159,0
2016-01-05,1,화,159,0.2
2016-01-06,1,수,159,0
2016-01-07,1,목,159,0
2016-01-08,1,금,159,0
2016-01-09,1,토,159,0
2016-01-10,1,일,159,0
2016-01-11,1,월,159,0
2016-01-12,1,화,159,0
2016-01-13,1,수,159,0
2016-01-14,1,목,159,0
2016-01-15,1,금,159,0
2016-01-16,1,토,159,0
2016-01-17,1,일,159,14.2
2016-01-18,1,월,159,0
2016-01-19,1,화,159,0
2016-01-20,1,수,159,0
2016-01-21,1,목,159,0
2016-01-22,1,금,159,0
2016-01-23,1,토,159,0
2016-01-24,1,일,159,0
2016-01-25,1,월,159,0
2016-01-26,1,화,159,0
2016-01-27,1,수,159,0
2016-01-28,1,목,159,24.3
2016-01-29,1,금,159,20.8
2016-01-30,1,토,159,0
2016-01-31,1,일,159,0
2016-02-01,2,월,159,0
2016-02-02,2,화,159,0
2016-02-03,2,수,159,0
2016-02-04,2,목,159,0
2016-02-05,2,금,159,0
2016-02-06,2,토,159,0
2016-02-07,2,일,159,0
2016-02-08,2,월,159,0
2016-02-09,2,화,159,0
2016-02-10,2,수,159,0
2016-02-11,2,목,159,0
2016-02-12,2,금,159,32.7
2016-02-13,2,토,159,28.9
2016-02-14,2,일,159,0
2016-02-15,2,월,159,0
2016-02-16,2,화,159,0
2016-02-17,2,수,159,0
2016-02-18,2,목,159,0
2016-02-19,2,금,159,0
2016-02-20,2,토,159,1.4
2016-02-21,2,일,159,0
2016-02-22,2,월,159,0
2016-02-23,2,화,159,0
2016-02-24,2,수,159,0
2016-02-25,2,목,159,0
2016-02-26,2,금,159,0
2016-02-27,2,토,159,0
2016-02-28,2,일,159,0.7
2016-02-29,2,월,159,0
2016-03-01,3,화,159,0
2016-03-02,3,수,159,0
2016-03-03,3,목,159,0
2016-03-04,3,금,159,35.7
2016-03-05,3,토,159,1.6
2016-03-06,3,일,159,32.7
2016-03-07,3,월,159,0
2016-03-08,3,화,159,6.6
2016-03-09,3,수,159,13.6
2016-03-10,3,목,159,0
2016-03-11,3,금,159,0
2016-03-12,3,토,159,0
2016-03-13,3,일,159,0
2016-03-14,3,월,159,0
2016-03-15,3,화,159,0
2016-03-16,3,수,159,0
2016-03-17,3,목,159,0
2016-03-18,3,금,159,38.7
2016-03-19,3,토,159,0
2016-03-20,3,일,159,0
2016-03-21,3,월,159,0
2016-03-22,3,화,159,0
2016-03-23,3,수,159,0
2016-03-24,3,목,159,0
2016-03-25,3,금,159,0
2016-03-26,3,토,159,4.6
2016-03-27,3,일,159,0
2016-03-28,3,월,159,0
2016-03-29,3,화,159,0
2016-03-30,3,수,159,0
2016-03-31,3,목,159,0
2016-04-01,4,금,159,0
2016-04-02,4,토,159,0
2016-04-03,4,일,159,0.9
2016-04-04,4,월,159,3.8
2016-04-05,4,화,159,0
2016-04-06,4,수,159,18.2
2016-04-07,4,목,159,47.4
2016-04-08,4,금,159,0
2016-04-09,4,토,159,0
2016-04-10,4,일,159,0
2016-04-11,4,월,159,0
2016-04-12,4,화,159,0
2016-04-13,4,수,159,14.8
2016-04-14,4,목,159,0
2016-04-15,4,금,159,0
2016-04-16,4,토,159,36.6
2016-04-17,4,일,159,8
2016-04-18,4,월,159,0
2016-04-19,4,화,159,0
2016-04-20,4,수,159,0
2016-04-21,4,목,159,31.8
2016-04-22,4,금,159,0
2016-04-23,4,토,159,0
2016-04-24,4,일,159,0
2016-04-25,4,월,159,0
2016-04-26,4,화,159,1.6
2016-04-27,4,수,159,32.1
2016-04-28,4,목,159,3.3
2016-04-29,4,금,159,0
2016-04-30,4,토,159,0
2016-05-01,5,일,159,0
2016-05-02,5,월,159,0
2016-05-03,5,화,159,40.7
2016-05-04,5,수,159,0
2016-05-05,5,목,159,0
2016-05-06,5,금,159,4.7
2016-05-07,5,토,159,0
2016-05-08,5,일,159,0
2016-05-09,5,월,159,0
2016-05-10,5,화,159,22.3
2016-05-11,5,수,159,0
2016-05-12,5,목,159,0
2016-05-13,5,금,159,0
2016-05-14,5,토,159,0
2016-05-15,5,일,159,0
2016-05-16,5,월,159,14.5
2016-05-17,5,화,159,0
2016-05-18,5,수,159,0
2016-05-19,5,목,159,0
2016-05-20,5,금,159,0
2016-05-21,5,토,159,0
2016-05-22,5,일,159,0
2016-05-23,5,월,159,0
2016-05-24,5,화,159,24.7
2016-05-25,5,수,159,0
2016-05-26,5,목,159,0
2016-05-27,5,금,159,0
2016-05-28,5,토,159,0
2016-05-29,5,일,159,1.9
2016-05-30,5,월,159,0
2016-05-31,5,화,159,0
2016-06-01,6,수,159,0
2016-06-02,6,목,159,0
2016-06-03,6,금,159,0
2016-06-04,6,토,159,6.6
2016-06-05,6,일,159,0
2016-06-06,6,월,159,3.1
2016-06-07,6,화,159,0
2016-06-08,6,수,159,0
2016-06-09,6,목,159,0
2016-06-10,6,금,159,0
2016-06-11,6,토,159,0
2016-06-12,6,일,159,8.6
2016-06-13,6,월,159,0
2016-06-14,6,화,159,0
2016-06-15,6,수,159,0
2016-06-16,6,목,159,1.5
2016-06-17,6,금,159,0
2016-06-18,6,토,159,2.8
2016-06-19,6,일,159,9.1
2016-06-20,6,월,159,10.2
2016-06-21,6,화,159,3.1
2016-06-22,6,수,159,13.4
2016-06-23,6,목,159,0
2016-06-24,6,금,159,53.7
2016-06-25,6,토,159,0
2016-06-26,6,일,159,0
2016-06-27,6,월,159,0.2
2016-06-28,6,화,159,0
2016-06-29,6,수,159,2.9
2016-06-30,6,목,159,0
2016-07-01,7,금,159,31.9
2016-07-02,7,토,159,44.4
2016-07-03,7,일,159,15.4
2016-07-04,7,월,159,63
2016-07-05,7,화,159,1
2016-07-06,7,수,159,0
2016-07-07,7,목,159,0.1
2016-07-08,7,금,159,0
2016-07-09,7,토,159,0
2016-07-10,7,일,159,0
2016-07-11,7,월,159,14.7
2016-07-12,7,화,159,6.3
2016-07-13,7,수,159,1.3
2016-07-14,7,목,159,0.1
2016-07-15,7,금,159,0
2016-07-16,7,토,159,9.8
2016-07-17,7,일,159,0
2016-07-18,7,월,159,0
2016-07-19,7,화,159,0
2016-07-20,7,수,159,0
2016-07-21,7,목,159,0
2016-07-22,7,금,159,0
2016-07-23,7,토,159,0
2016-07-24,7,일,159,0
2016-07-25,7,월,159,0.8
2016-07-26,7,화,159,0
2016-07-27,7,수,159,0
2016-07-28,7,목,159,0
2016-07-29,7,금,159,0
2016-07-30,7,토,159,0
2016-07-31,7,일,159,0
2016-08-01,8,월,159,5
2016-08-02,8,화,159,0.6
2016-08-03,8,수,159,0.4
2016-08-04,8,목,159,0
2016-08-05,8,금,159,0
2016-08-06,8,토,159,0
2016-08-07,8,일,159,0
2016-08-08,8,월,159,0
2016-08-09,8,화,159,0
2016-08-10,8,수,159,0
2016-08-11,8,목,159,0
2016-08-12,8,금,159,0
2016-08-13,8,토,159,0
2016-08-14,8,일,159,0
2016-08-15,8,월,159,53.8
2016-08-16,8,화,159,21.3
2016-08-17,8,수,159,0
2016-08-18,8,목,159,0
2016-08-19,8,금,159,0
2016-08-20,8,토,159,0
2016-08-21,8,일,159,0
2016-08-22,8,월,159,0
2016-08-23,8,화,159,0.9
2016-08-24,8,수,159,0
2016-08-25,8,목,159,0
2016-08-26,8,금,159,0
2016-08-27,8,토,159,1.7
2016-08-28,8,일,159,57.6
2016-08-29,8,월,159,0.2
2016-08-30,8,화,159,0
2016-08-31,8,수,159,0
2016-09-01,9,목,159,0
2016-09-02,9,금,159,118
2016-09-03,9,토,159,38.4
2016-09-04,9,일,159,0.1
2016-09-05,9,월,159,0
2016-09-06,9,화,159,0
2016-09-07,9,수,159,0
2016-09-08,9,목,159,1.3
2016-09-09,9,금,159,0
2016-09-10,9,토,159,0
2016-09-11,9,일,159,0
2016-09-12,9,월,159,24.7
2016-09-13,9,화,159,0
2016-09-14,9,수,159,0
2016-09-15,9,목,159,0
2016-09-16,9,금,159,0
2016-09-17,9,토,159,119.4
2016-09-18,9,일,159,7.8
2016-09-19,9,월,159,0
2016-09-20,9,화,159,0
2016-09-21,9,수,159,0
2016-09-22,9,목,159,0.2
2016-09-23,9,금,159,0
2016-09-24,9,토,159,0
2016-09-25,9,일,159,0
2016-09-26,9,월,159,0
2016-09-27,9,화,159,3.7
2016-09-28,9,수,159,61.8
2016-09-29,9,목,159,2.3
2016-09-30,9,금,159,30.2
2016-10-01,10,토,159,1.4
2016-10-02,10,일,159,0
2016-10-03,10,월,159,0
2016-10-04,10,화,159,0.1
2016-10-05,10,수,159,95
2016-10-06,10,목,159,0
2016-10-07,10,금,159,0.2
2016-10-08,10,토,159,39.3
2016-10-09,10,일,159,0
2016-10-10,10,월,159,0
2016-10-11,10,화,159,0
2016-10-12,10,수,159,0
2016-10-13,10,목,159,0
2016-10-14,10,금,159,0
2016-10-15,10,토,159,0
2016-10-16,10,일,159,38.7
2016-10-17,10,월,159,0.1
2016-10-18,10,화,159,0
2016-10-19,10,수,159,0
2016-10-20,10,목,159,0
2016-10-21,10,금,159,0
2016-10-22,10,토,159,0
2016-10-23,10,일,159,0
2016-10-24,10,월,159,0
2016-10-25,10,화,159,1.8
2016-10-26,10,수,159,0
2016-10-27,10,목,159,0
2016-10-28,10,금,159,5.8
2016-10-29,10,토,159,0
2016-10-30,10,일,159,0
2016-10-31,10,월,159,0
2016-11-01,11,화,159,0
2016-11-02,11,수,159,0
2016-11-03,11,목,159,0
2016-11-04,11,금,159,0
2016-11-05,11,토,159,0
2016-11-06,11,일,159,0.3
2016-11-07,11,월,159,0.1
2016-11-08,11,화,159,0.7
2016-11-09,11,수,159,0
2016-11-10,11,목,159,6.7
2016-11-11,11,금,159,0
2016-11-12,11,토,159,0
2016-11-13,11,일,159,0.2
2016-11-14,11,월,159,7.6
2016-11-15,11,화,159,0
2016-11-16,11,수,159,0
2016-11-17,11,목,159,0
2016-11-18,11,금,159,29.1
2016-11-19,11,토,159,0.7
2016-11-20,11,일,159,0
2016-11-21,11,월,159,0
2016-11-22,11,화,159,0
2016-11-23,11,수,159,0
2016-11-24,11,목,159,0
2016-11-25,11,금,159,0
2016-11-26,11,토,159,1.5
2016-11-27,11,일,159,0.3
2016-11-28,11,월,159,0
2016-11-29,11,화,159,0
2016-11-30,11,수,159,9.4
2016-12-01,12,목,159,0
2016-12-02,12,금,159,0
2016-12-03,12,토,159,0
2016-12-04,12,일,159,0
2016-12-05,12,월,159,0
2016-12-06,12,화,159,0
2016-12-07,12,수,159,0
2016-12-08,12,목,159,0
2016-12-09,12,금,159,0
2016-12-10,12,토,159,0
2016-12-11,12,일,159,0
2016-12-12,12,월,159,0
2016-12-13,12,화,159,0
2016-12-14,12,수,159,0
2016-12-15,12,목,159,0
2016-12-16,12,금,159,0
2016-12-17,12,토,159,0
2016-12-18,12,일,159,0
2016-12-19,12,월,159,17.1
2016-12-20,12,화,159,1.1
2016-12-21,12,수,159,21.2
2016-12-22,12,목,159,39.6
2016-12-23,12,금,159,0
2016-12-24,12,토,159,0
2016-12-25,12,일,159,0
2016-12-26,12,월,159,22.2
2016-12-27,12,화,159,2.6
2016-12-28,12,수,159,0
2016-12-29,12,목,159,0
2016-12-30,12,금,159,0
2016-12-31,12,토,159,0
